timestamp,contest_url,question,answer,mode,status,source
2026-01-04T21:30:06.550062,https://www.filmweb.pl/contest/5853,,"Najmocniej przemawia do mnie ten tytuł, w którym postać jest grana bez maniery, a film trzyma emocjonalną spójność. Doceniam, gdy aktorstwo nie jest popisem dla kamery, tylko służy historii – subtelne gesty mówią więcej niż dialog. Ważna jest konsekwencja reżyserska i montaż, które niosą tempo, zamiast je udawać; wtedy nie czuję fałszu. Dlatego właśnie ten wybór wydaje mi się najbardziej uczciwy i po prostu trafia we mnie.",auto->creative,DRY_FILLED,
2026-01-04T21:31:30.563424,https://www.filmweb.pl/contest/5853,,"Najmocniej przemawia do mnie ten tytuł, w którym postać jest grana bez maniery, a film trzyma emocjonalną spójność. Doceniam, gdy aktorstwo nie jest popisem dla kamery, tylko służy historii – subtelne gesty mówią więcej niż dialog. Ważna jest konsekwencja reżyserska i montaż, które niosą tempo, zamiast je udawać; wtedy nie czuję fałszu. Dlatego właśnie ten wybór wydaje mi się najbardziej uczciwy i po prostu trafia we mnie.",auto->creative,DRY_FILLED,
2026-01-04T21:32:52.388924,https://www.filmweb.pl/contest/5853,,"Najmocniej przemawia do mnie ten tytuł, w którym postać jest grana bez maniery, a film trzyma emocjonalną spójność. Doceniam, gdy aktorstwo nie jest popisem dla kamery, tylko służy historii – subtelne gesty mówią więcej niż dialog. Ważna jest konsekwencja reżyserska i montaż, które niosą tempo, zamiast je udawać; wtedy nie czuję fałszu. Dlatego właśnie ten wybór wydaje mi się najbardziej uczciwy i po prostu trafia we mnie.",auto->creative,DRY_FILLED,
2026-01-04T21:35:19.046461,https://www.filmweb.pl/contest/5853,,,auto,"ERROR:TimeoutError:Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.filmweb.pl/contest/5853"", waiting until ""load""
",
2026-01-04T21:36:35.846606,https://www.filmweb.pl/contest/5853,,"Najmocniej przemawia do mnie ten tytuł, w którym postać jest grana bez maniery, a film trzyma emocjonalną spójność. Doceniam, gdy aktorstwo nie jest popisem dla kamery, tylko służy historii – subtelne gesty mówią więcej niż dialog. Ważna jest konsekwencja reżyserska i montaż, które niosą tempo, zamiast je udawać; wtedy nie czuję fałszu. Dlatego właśnie ten wybór wydaje mi się najbardziej uczciwy i po prostu trafia we mnie.",auto->creative,DRY_FILLED,
2026-01-04T21:52:05.746935,https://www.filmweb.pl/contest/5840,,"Najmocniej przemawia do mnie ten tytuł, w którym postać jest grana bez maniery, a film trzyma emocjonalną spójność. Doceniam, gdy aktorstwo nie jest popisem dla kamery, tylko służy historii – subtelne gesty mówią więcej niż dialog. Ważna jest konsekwencja reżyserska i montaż, które niosą tempo, zamiast je udawać; wtedy nie czuję fałszu. Dlatego właśnie ten wybór wydaje mi się najbardziej uczciwy i po prostu trafia we mnie.",auto->creative,NOT_SENT,
2026-01-04T21:52:27.335498,https://www.filmweb.pl/contest/5844,,"Najmocniej przemawia do mnie ten tytuł, w którym postać jest grana bez maniery, a film trzyma emocjonalną spójność. Doceniam, gdy aktorstwo nie jest popisem dla kamery, tylko służy historii – subtelne gesty mówią więcej niż dialog. Ważna jest konsekwencja reżyserska i montaż, które niosą tempo, zamiast je udawać; wtedy nie czuję fałszu. Dlatego właśnie ten wybór wydaje mi się najbardziej uczciwy i po prostu trafia we mnie.",auto->creative,NOT_SENT,
2026-01-04T21:53:32.963473,https://www.filmweb.pl/contest/5840,,"Najmocniej przemawia do mnie ten tytuł, w którym postać jest grana bez maniery, a film trzyma emocjonalną spójność. Doceniam, gdy aktorstwo nie jest popisem dla kamery, tylko służy historii – subtelne gesty mówią więcej niż dialog. Ważna jest konsekwencja reżyserska i montaż, które niosą tempo, zamiast je udawać; wtedy nie czuję fałszu. Dlatego właśnie ten wybór wydaje mi się najbardziej uczciwy i po prostu trafia we mnie.",auto->creative,NOT_SENT,
2026-01-04T21:54:05.042886,https://www.filmweb.pl/contest/5844,,"Najmocniej przemawia do mnie ten tytuł, w którym postać jest grana bez maniery, a film trzyma emocjonalną spójność. Doceniam, gdy aktorstwo nie jest popisem dla kamery, tylko służy historii – subtelne gesty mówią więcej niż dialog. Ważna jest konsekwencja reżyserska i montaż, które niosą tempo, zamiast je udawać; wtedy nie czuję fałszu. Dlatego właśnie ten wybór wydaje mi się najbardziej uczciwy i po prostu trafia we mnie.",auto->creative,NOT_SENT,
2026-01-04T21:54:36.898697,https://www.filmweb.pl/contest/5846,,"Najmocniej przemawia do mnie ten tytuł, w którym postać jest grana bez maniery, a film trzyma emocjonalną spójność. Doceniam, gdy aktorstwo nie jest popisem dla kamery, tylko służy historii – subtelne gesty mówią więcej niż dialog. Ważna jest konsekwencja reżyserska i montaż, które niosą tempo, zamiast je udawać; wtedy nie czuję fałszu. Dlatego właśnie ten wybór wydaje mi się najbardziej uczciwy i po prostu trafia we mnie.",auto->creative,NOT_SENT,
2026-01-04T21:58:54.664037,https://www.filmweb.pl/contest/5840,,,auto,SKIPPED_ENDED,
2026-01-04T21:58:55.226135,https://www.filmweb.pl/contest/5844,,,auto,SKIPPED_ENDED,
2026-01-04T21:58:55.813094,https://www.filmweb.pl/contest/5846,,,auto,SKIPPED_ENDED,
2026-01-04T22:02:47.861183,https://www.filmweb.pl/contest/5840,,,auto,SKIPPED_ENDED,
2026-01-04T22:02:52.247550,https://www.filmweb.pl/contest/5844,,,auto,SKIPPED_ENDED,
2026-01-04T22:02:52.847673,https://www.filmweb.pl/contest/5846,,,auto,SKIPPED_ENDED,
2026-01-04T22:02:53.467476,https://www.filmweb.pl/contest/5847,,,auto,SKIPPED_ENDED,
2026-01-04T22:02:54.821830,https://www.filmweb.pl/contest/5848,,,auto,SKIPPED_ENDED,
2026-01-04T22:02:55.710595,https://www.filmweb.pl/contest/5849,,,auto,SKIPPED_ENDED,
2026-01-04T22:02:56.652154,https://www.filmweb.pl/contest/5850,,,auto,SKIPPED_ENDED,
2026-01-04T22:02:57.286068,https://www.filmweb.pl/contest/5852,,,auto,SKIPPED_ENDED,
2026-01-04T22:02:57.849174,https://www.filmweb.pl/contest/5853,,,auto,SKIPPED_ENDED,
2026-02-08T22:23:16.039263,https://www.filmweb.pl/contest/5846,,,auto,SKIPPED_ENDED,
2026-02-08T22:23:16.650604,https://www.filmweb.pl/contest/5847,,,auto,SKIPPED_ENDED,
2026-02-08T22:23:20.691581,https://www.filmweb.pl/contest/5848,,,auto,SKIPPED_ENDED,
2026-02-08T22:23:21.313132,https://www.filmweb.pl/contest/5849,,,auto,SKIPPED_ENDED,
2026-02-08T22:23:21.970410,https://www.filmweb.pl/contest/5850,,,auto,SKIPPED_ENDED,
2026-02-08T22:23:22.564947,https://www.filmweb.pl/contest/5852,,,auto,SKIPPED_ENDED,
2026-02-08T22:23:23.181905,https://www.filmweb.pl/contest/5853,,,auto,SKIPPED_ENDED,
2026-02-08T22:23:23.730155,https://www.filmweb.pl/contest/5854,,,auto,SKIPPED_ENDED,
2026-02-08T22:23:24.331446,https://www.filmweb.pl/contest/5855,,,auto,SKIPPED_ENDED,
2026-02-08T22:23:24.967893,https://www.filmweb.pl/contest/5856,,,auto,SKIPPED_ENDED,
2026-02-08T22:23:25.678970,https://www.filmweb.pl/contest/5858,,,auto,SKIPPED_ENDED,
